original_name	origin	en:france	en:belgium	en:germany	en:irland	en:italy	en:luxembourg	en:netherlands	en:spain	en:switzerland
Roumanie	en:romania	8	35	7	23	17	26	34	58	14
Royaume-Uni	en:united-kingdom	76	73	51	79	17	63	67	13	34
Russie	en:russia	0	0	0	0	5	0	0	11	0
Rwanda	en:rwanda	0	0	0	0	0	0	0	0	0
Sahara occidental	en:western-sahara	53	47	47	35	39	38	47	54	32
Saint Vincent et les Grenadines	en:saint-vincent-and-the-grenadines	52	45	45	35	32	36	45	48	24
Saint-Christophe-et-Nevis	en:saint-kitts-and-nevis	0	47	47	37	32	38	46	49	25
Saint-Marin	en:san-marino	42	47	47	37	32	38	46	49	25
Saint-Pierre-et-Miquelon	en:saint-pierre-and-miquelon	32	65	65	56	44	56	65	60	37
Sainte-Hélène	en:saint-helena	0	45	27	18	21	37	27	39	14
Sainte-Lucie	en:saint-lucia	57	45	45	35	31	36	44	47	24
Samoa	en:samoa	0	6	6	0	0	0	5	7	0
Samoa américaines	en:american-samoa	0	0	0	0	0	0	0	0	0
São Tomé e Príncipe	en:sao-tome-and-principe	52	34	33	23	26	25	32	44	19
Sénégal	en:senegal	57	38	38	26	29	29	37	46	22
Serbie	en:serbia	35	11	26	19	55	21	12	55	30
Seychelles	en:seychelles	34	47	47	34	51	38	46	59	44
Sierra Leone	en:sierra-leone	59	46	46	34	38	37	45	54	30
Singapour	en:singapore	8	28	28	15	32	19	27	40	25
Slovaquie	en:slovakia	53	30	48	3	49	37	30	38	46
Slovénie	en:slovenia	58	40	47	34	81	51	40	70	61
Somalie	en:somalia	13	32	32	20	36	23	32	45	29
Soudan	en:sudan	0	0	0	0	0	0	0	1	0
Sri Lanka	en:sri-lanka	16	34	34	21	38	25	34	47	31
Suède	en:sweden	48	23	44	54	30	30	30	48	9
Suisse	en:switzerland	93	70	64	24	74	78	63	20	100
Suriname	en:suriname	41	22	22	12	10	13	22	27	3
Svalbard et Jan Mayen	en:svalbard-and-jan-mayen	0	72	74	57	30	63	73	48	23
Swaziland	en:swaziland	13	28	28	16	29	19	28	38	22
Syrie	en:syria	45	30	29	18	47	21	29	53	39
Tadjikistan	en:tajikistan	0	0	0	0	0	0	0	0	0
Taïwan	en:taiwan	0	5	5	0	9	0	4	16	2
Tanzanie	en:tanzania	0	15	15	2	19	6	14	27	11
Tchad	en:chad	0	0	0	0	0	0	0	0	0
Territoire britannique de l'océan Indien	en:british-indian-ocean-territory	0	39	39	26	43	30	38	51	36
Territoires français du Sud	en:french-southern-and-antarctic-lands	0	13	12	1	18	4	11	28	11
Territoires palestiniens	en:palestinian-territories	62	46	38	22	55	30	37	62	48
Thaïlande	en:thailand	0	12	12	0	16	3	12	25	9
